tag,start,end,cumdiff
SCKHN076FLW002.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,9.0
SCMTP010SPR001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,1.0
SCHMN015FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,4.5179858E7
SCGPB018SPR001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,1.82247319E8
SCSNC041SPR001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,0.0
SCSNC041FLW001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,45871.0
SCJIA070SPR001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,8.5991926E7
SCHLG074FLW002.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,1.0
SCBAL004FLW003.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,817392.0
SCMHF014SPR001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,1.0128132449999999E8
SCADN071FLW002.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,1054923.4000000001
SCBKN016SPR001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,1.0
SCHMN015SPR001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,3.564975638E9
SCHLG074SPR001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,3.32121251E8
SCGPB018FLW002.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,3195149.0
SCBAL004FLW002.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,2303532.0
SCPRN045SPR001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,891617.0
SCGPB018FLW002.CUMULATIVE_TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,2.2366043E7
SCHLG074FLW001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,9.993545744E9
SCHMN015FLW001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,6.0338275E7
SCBKN016FLW002.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,2454409.0
SCKHN076SPR001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,1459728.0
SCADN071SPR001.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,0.0
SCMTP010FLW002.TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,131724.0
SCMTP010SPR001.CUMULATIVE_TOTAL_FLOW,2021-11-29T12:00:00.000Z,2021-11-29T18:00:00.000Z,131716.0
SCSTN032FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,2.3741727E7
SCSNN069SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,9658306.0
SCAMB021FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,3.59763077E8
SCGPB018FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,6972689.0
SCADB035FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,9.4569065E7
SCJWN055FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,9.49277941E7
SCGPB018FLW002.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,2.2366043E7
SCBIS001FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,9.45231893E8
SCSEC026FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,7.4059064E8
SCADB035FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,10963.300000000001
SCMHF014FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.00647536E7
SCRAM008FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,4.263186E7
SCSNN069FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,3.72687015E7
SCSYN012FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.48924216E8
SCBKN016SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.4434525E8
SCTRS075FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.4439236E7
SCJYN030FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.992434826E9
SCSUR002FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.17162736E8
SCADN071FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,2.30519715E8
SCHMN015FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,4407782.0
SCPRN043FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,3820908.6
SCSYM060FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,75639.3
SCMTP010SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.53071485389E10
SCPRN046FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,51281.5
SCCVN031FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,51100.9
SCSTN032SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.0
SCPRN047SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,0.0
SCJWN055SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,0.0
SCBKN016FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,127149.0
SCDGP013FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.017387E7
